nodo,variable,dia,max,min,promedio,recuento,suma
cacao-07-campo-era5,leafWetness,2026-09-24,100.0,0.0,19.1,10,
cacao-07-campo-era5,leafWetness,2026-09-25,,,,0,
cacao-07-campo-era5,leafWetness,2026-09-26,,,,0,
cacao-07-campo-era5,leafWetness,2026-09-27,,,,0,
cacao-07-campo-era5,humidity,2026-09-24,93.0,77.0,83.5,10,
cacao-07-campo-era5,humidity,2026-09-25,,,,0,
cacao-07-campo-era5,humidity,2026-09-26,,,,0,
cacao-07-campo-era5,humidity,2026-09-27,,,,0,
cacao-08-dosel-rest,temperature,2026-09-24,26.2,25.8,26.0,5,
cacao-08-dosel-rest,temperature,2026-09-25,,,,0,
cacao-08-dosel-rest,temperature,2026-09-26,,,,0,
cacao-08-dosel-rest,temperature,2026-09-27,,,,0,
cacao-08-dosel-rest,humidity,2026-09-24,85.3,83.4,84.44,5,
cacao-08-dosel-rest,humidity,2026-09-25,,,,0,
cacao-08-dosel-rest,humidity,2026-09-26,,,,0,
cacao-08-dosel-rest,humidity,2026-09-27,,,,0,
cacao-08-dosel-rest,illuminance,2026-09-24,6729.0,5511.0,6301.4,5,
cacao-08-dosel-rest,illuminance,2026-09-25,,,,0,
cacao-08-dosel-rest,illuminance,2026-09-26,,,,0,
cacao-08-dosel-rest,illuminance,2026-09-27,,,,0,
cacao-10-bodega-mqttjs,doorOpen,2026-09-24,1.0,0.0,0.24,17,
cacao-10-bodega-mqttjs,doorOpen,2026-09-25,,,,0,
cacao-10-bodega-mqttjs,doorOpen,2026-09-26,,,,0,
cacao-10-bodega-mqttjs,doorOpen,2026-09-27,,,,0,
cacao-10-bodega-mqttjs,motion,2026-09-24,1.0,0.0,0.35,17,
cacao-10-bodega-mqttjs,motion,2026-09-25,,,,0,
cacao-10-bodega-mqttjs,motion,2026-09-26,,,,0,
cacao-10-bodega-mqttjs,motion,2026-09-27,,,,0,
cacao-10-bodega-mqttjs,temperature,2026-09-24,26.7,26.3,26.52,17,
cacao-10-bodega-mqttjs,temperature,2026-09-25,,,,0,
cacao-10-bodega-mqttjs,temperature,2026-09-26,,,,0,
cacao-10-bodega-mqttjs,temperature,2026-09-27,,,,0,
