device,ts,day,soilMoisture,soilTemperature,soilEC,illuminance,pm25,pm10,aqi,humidity,temperature,rainfall,windSpeed,radiation,boxTemperature,mass,leafWetness,doorOpen,motion
cacao-01-lote1-twin,2026-09-24 20:24:17.947000+00:00,2026-09-24,38.3,28.05,0.449,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:42:16.591000+00:00,2026-09-24,17.5,23.24,1.188,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:58:27.366000+00:00,2026-09-24,27.3,24.63,1.017,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:59:42.052000+00:00,2026-09-24,20.4,25.98,1.207,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:00:56.761000+00:00,2026-09-24,32.5,26.25,0.591,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:10:54.105000+00:00,2026-09-24,31.4,25.89,1.388,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:12:08.775000+00:00,2026-09-24,34.4,26.19,0.709,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:25:32.608000+00:00,2026-09-24,30.1,24.84,0.845,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:26:47.265000+00:00,2026-09-24,23.7,23.07,1.196,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:28:01.932000+00:00,2026-09-24,24.7,23.55,0.751,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:20:51.353000+00:00,2026-09-24,34.4,27.9,0.907,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:22:06.009000+00:00,2026-09-24,36.0,27.46,1.277,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:23:20.670000+00:00,2026-09-24,40.1,27.02,0.724,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:24:35.318000+00:00,2026-09-24,35.4,28.83,0.781,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:28:19.308000+00:00,2026-09-24,40.5,24.9,1.037,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 19:54:26.078000+00:00,2026-09-24,37.7,24.21,1.06,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 19:55:40.748000+00:00,2026-09-24,31.7,21.38,1.135,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 19:56:55.401000+00:00,2026-09-24,24.8,23.56,0.371,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 19:58:10.075000+00:00,2026-09-24,18.9,24.06,0.95,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:14:20.674000+00:00,2026-09-24,38.0,22.74,0.853,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:15:35.336000+00:00,2026-09-24,30.7,25.58,1.198,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:16:50.017000+00:00,2026-09-24,25.5,27.21,0.903,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:18:04.667000+00:00,2026-09-24,23.9,28.46,0.603,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:19:19.319000+00:00,2026-09-24,23.6,26.27,1.328,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:29:33.963000+00:00,2026-09-24,31.9,26.94,0.634,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:30:48.617000+00:00,2026-09-24,39.1,27.44,0.689,,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:32:43.303000+00:00,2026-09-24,16.4,25.98,0.656,13059.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:32:58.430000+00:00,2026-09-24,16.8,26.16,0.647,11253.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:33:13.571000+00:00,2026-09-24,16.6,25.98,0.63,12863.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:31:27.634000+00:00,2026-09-24,16.9,25.89,0.643,11558.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:31:42.763000+00:00,2026-09-24,17.2,26.06,0.669,11780.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:31:57.905000+00:00,2026-09-24,16.9,26.0,0.668,11897.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:32:13.040000+00:00,2026-09-24,16.9,26.06,0.652,11921.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:32:28.171000+00:00,2026-09-24,17.0,25.95,0.648,12627.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:29:56.804000+00:00,2026-09-24,17.2,26.02,0.651,12213.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:30:11.950000+00:00,2026-09-24,17.0,25.98,0.675,12388.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:30:27.078000+00:00,2026-09-24,17.3,26.04,0.636,12823.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:30:42.220000+00:00,2026-09-24,17.2,26.05,0.646,11895.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:30:57.349000+00:00,2026-09-24,16.9,26.05,0.651,12706.0,,,,,,,,,,,,,
cacao-03-lote3-sdk,2026-09-24 21:31:12.494000+00:00,2026-09-24,16.8,25.99,0.635,11468.0,,,,,,,,,,,,,
cacao-04-aire-cams,2026-09-24 21:29:58.088000+00:00,2026-09-24,,,,,8.8,9.0,62.0,78.0,,,,,,,,,
cacao-05-meteo-feed,2026-09-24 21:29:57.417000+00:00,2026-09-24,,,,,,,,78.0,26.7,0.1,3.0,254.0,,,,,
cacao-06-ferm-paho,2026-09-24 21:33:56.723000+00:00,2026-09-24,,,,,,,,78.0,,,,,32.05,49.23,,,
cacao-06-ferm-paho,2026-09-24 21:29:56.182000+00:00,2026-09-24,,,,,,,,77.8,,,,,32.21,49.17,,,
cacao-06-ferm-paho,2026-09-24 21:30:56.319000+00:00,2026-09-24,,,,,,,,78.1,,,,,32.58,49.23,,,
cacao-06-ferm-paho,2026-09-24 21:31:56.456000+00:00,2026-09-24,,,,,,,,77.6,,,,,31.93,49.2,,,
cacao-06-ferm-paho,2026-09-24 21:32:56.587000+00:00,2026-09-24,,,,,,,,76.7,,,,,32.26,49.26,,,
cacao-07-campo-era5,2026-09-24 21:32:57.699000+00:00,2026-09-24,,,,,,,,78.0,,0.0,,,,,0.0,,
cacao-07-campo-era5,2026-09-24 21:33:27.833000+00:00,2026-09-24,,,,,,,,77.0,,0.0,,,,,0.0,,
cacao-07-campo-era5,2026-09-24 21:33:57.981000+00:00,2026-09-24,,,,,,,,81.0,,0.1,,,,,0.0,,
cacao-07-campo-era5,2026-09-24 21:34:28.125000+00:00,2026-09-24,,,,,,,,85.0,,0.2,,,,,100.0,,
cacao-07-campo-era5,2026-09-24 21:31:27.275000+00:00,2026-09-24,,,,,,,,83.0,,0.0,,,,,0.0,,
cacao-07-campo-era5,2026-09-24 21:31:57.421000+00:00,2026-09-24,,,,,,,,82.0,,0.0,,,,,0.0,,
cacao-07-campo-era5,2026-09-24 21:32:27.568000+00:00,2026-09-24,,,,,,,,80.0,,0.0,,,,,0.0,,
cacao-07-campo-era5,2026-09-24 21:29:56.839000+00:00,2026-09-24,,,,,,,,89.0,,0.0,,,,,26.0,,
cacao-07-campo-era5,2026-09-24 21:30:27+00:00,2026-09-24,,,,,,,,93.0,,0.0,,,,,52.0,,
cacao-07-campo-era5,2026-09-24 21:30:57.131000+00:00,2026-09-24,,,,,,,,87.0,,0.0,,,,,13.0,,
cacao-08-dosel-rest,2026-09-24 21:32:58.759000+00:00,2026-09-24,,,,6647.0,,,,84.4,25.8,,,,,,,,
cacao-08-dosel-rest,2026-09-24 21:33:59.035000+00:00,2026-09-24,,,,5949.0,,,,83.4,26.2,,,,,,,,
cacao-08-dosel-rest,2026-09-24 21:29:57.666000+00:00,2026-09-24,,,,6671.0,,,,85.3,25.9,,,,,,,,
cacao-08-dosel-rest,2026-09-24 21:30:58.038000+00:00,2026-09-24,,,,6729.0,,,,85.3,26.1,,,,,,,,
cacao-08-dosel-rest,2026-09-24 21:31:58.425000+00:00,2026-09-24,,,,5511.0,,,,83.8,26.0,,,,,,,,
cacao-10-bodega-mqttjs,2026-09-24 21:32:56.602000+00:00,2026-09-24,,,,,,,,,26.5,,,,,,,True,True
cacao-10-bodega-mqttjs,2026-09-24 21:33:16.605000+00:00,2026-09-24,,,,,,,,,26.5,,,,,,,True,True
cacao-10-bodega-mqttjs,2026-09-24 21:33:36.625000+00:00,2026-09-24,,,,,,,,,26.4,,,,,,,False,False
cacao-10-bodega-mqttjs,2026-09-24 21:33:56.660000+00:00,2026-09-24,,,,,,,,,26.7,,,,,,,False,False
cacao-10-bodega-mqttjs,2026-09-24 21:34:16.679000+00:00,2026-09-24,,,,,,,,,26.6,,,,,,,False,False
cacao-10-bodega-mqttjs,2026-09-24 21:34:36.683000+00:00,2026-09-24,,,,,,,,,26.3,,,,,,,False,False
cacao-10-bodega-mqttjs,2026-09-24 21:34:56.703000+00:00,2026-09-24,,,,,,,,,26.3,,,,,,,False,False
cacao-10-bodega-mqttjs,2026-09-24 21:35:16.722000+00:00,2026-09-24,,,,,,,,,26.5,,,,,,,False,True
cacao-10-bodega-mqttjs,2026-09-24 21:29:57.525000+00:00,2026-09-24,,,,,,,,,26.6,,,,,,,True,True
cacao-10-bodega-mqttjs,2026-09-24 21:30:16.434000+00:00,2026-09-24,,,,,,,,,26.5,,,,,,,True,True
cacao-10-bodega-mqttjs,2026-09-24 21:30:36.456000+00:00,2026-09-24,,,,,,,,,26.6,,,,,,,False,False
cacao-10-bodega-mqttjs,2026-09-24 21:30:56.460000+00:00,2026-09-24,,,,,,,,,26.7,,,,,,,False,False
cacao-10-bodega-mqttjs,2026-09-24 21:31:16.480000+00:00,2026-09-24,,,,,,,,,26.5,,,,,,,False,False
cacao-10-bodega-mqttjs,2026-09-24 21:31:36.499000+00:00,2026-09-24,,,,,,,,,26.4,,,,,,,False,False
cacao-10-bodega-mqttjs,2026-09-24 21:31:56.518000+00:00,2026-09-24,,,,,,,,,26.5,,,,,,,False,True
cacao-10-bodega-mqttjs,2026-09-24 21:32:16.555000+00:00,2026-09-24,,,,,,,,,26.5,,,,,,,False,False
cacao-10-bodega-mqttjs,2026-09-24 21:32:36.566000+00:00,2026-09-24,,,,,,,,,26.7,,,,,,,False,False
